A,B,C,D,E,F
32,250.55,34,533.4,32.6788,4.59271
33,258.19,39,613.44,-23.3395,-8.95919
37,290.09,21,325.43,-49.8686,-63.8288
11,82.17,23,357.42,-33.3786,-13.4858
16,122.06,13,197.38,51.1586,22.7772
17,130.42,34,533.25,31.467,77.8834
31,242.28,30,469.03,19.3924,34.9848
22,170.43,7,101.07,-18.0545,-23.9591
33,258.23,13,197.23,29.1607,62.5352
25,194.22,15,229.56,5.60148,2.15021
11,83.21,35,549.22,38.3133,19.5216
34,266.1,34,532.97,-58.8617,-39.7027
23,178.07,39,613.38,-20.5108,-59.5676
27,210.04,24,373.02,19.7267,40.4457
24,186.41,23,357.34,29.4895,20.6487
2,10.33,26,405.04,53.5616,71.0785
33,258.25,24,373.45,68.3385,87.4691
29,226.09,8,117.03,-25.6344,-89.3973
22,170.09,20,308.97,-45.5722,-82.2142
37,290.35,20,309.44,-81.3056,-36.1995
35,274.27,4,53.12,19.5216,38.3133
14,106.13,22,341.27,64.6536,58.2143
12,90.53,14,212.98,-4.38812,-4.09199
30,234.11,10,149.39,-11.9106,-1.46243
13,98.44,25,389.08,-62.2529,-48.6372
12,90.16,24,373.15,-58.4937,-69.71
11,82.52,39,613.25,-66.2572,-15.2967
35,274.25,18,277.32,-8.91997,-16.776
3,18.37,3,37.38,1.62785,4.72759
32,250.1,20,309.34,15.6472,20.7645
19,146.13,19,293.22,-60.6658,-6.37623
0,-5.99,31,485.2,-5.26046,-10.7855
14,106.06,7,101.43,50.0679,20.2287
22,170.56,30,469.22,12.2063,22.9566
11,82.05,11,165.1,-44.5503,-22.6995
36,282.05,6,85.54,-24.8579,-14.9361
24,186.2,18,277.41,21.5958,4.19779
0,-5.84,15,230.15,69.4333,60.3574
2,10.4,12,181.28,-19.8542,-49.1407
17,129.97,16,245.05,24.2705,17.6335
33,258.07,34,533.01,65.5748,72.8281
17,130.2,3,37.29,36.3241,46.4926
3,18.04,7,101.44,0.642788,0.766044
38,298.25,28,437.22,38.637,10.3528
14,106.31,9,133.26,-16.8508,-22.3618
20,154.28,0,-10.79,9.92298,34.6054
35,274.27,9,133.43,12.2744,25.1662
30,234.28,12,181.21,-35.7487,-28.9487
31,242.29,0,-10.5,-27.2511,-9.91858
29,226.06,36,565.02,49.2826,78.8684
27,210.55,2,21.12,-44.3524,-52.857
32,250.4,21,325.27,41.6869,5.11851
39,306.01,31,485.53,55.5727,57.5471
13,98.39,29,453.5,62.4042,21.4875
19,146.44,16,245.23,-30.4614,-79.3543
39,306.15,34,533.51,-55.4256,-32
6,42.44,24,373.51,-60.3843,-39.214
25,194.29,0,-10.92,-22.0921,-9.37754
26,202.26,36,564.98,42.0603,8.9402
9,66.26,23,357.28,-41.6453,-85.3854
0,-5.86,3,37.16,-44.7637,-19.9301
9,66.45,13,197.17,-9.58363,-7.22178
17,130.37,1,5.27,-14.2574,-9.25886
26,202.25,8,117.07,52.6049,6.45907
29,225.99,17,261.17,19.7003,15.3915
19,146.13,7,101.46,-8.81049,-10.88
7,50.11,10,149.5,13.7658,19.6596
9,66.53,2,21.31,45.1966,37.9244
1,2.55,4,53.32,-5.61911,-13.9078
7,50.01,23,357.11,-28.5357,-12.1127
20,154.5,18,277.44,-19.5051,-12.1881
32,250.11,23,357.39,23.1662,11.8037
19,146.36,26,404.99,-66.2211,-35.2103
10,74.4,32,501.19,3.49848,1.93924
9,66.09,12,181.33,-25.5981,-39.4175
30,234.07,12,181.16,36.2261,31.4908
8,58.17,8,117.49,30.2477,62.0168
14,106.26,26,405.36,-10.497,-12.0753
36,282.22,11,165.2,50.4133,19.3519
30,234.06,12,181.14,19.8559,6.83693
24,186.54,11,165.5,0.374608,0.927184
14,106.1,26,405.5,-18.9935,-49.4797
31,242.43,17,261.11,5.60148,2.15021
15,114.54,29,453.55,48.1831,39.0178
21,161.97,39,613.37,66.8831,60.2217
37,290.4,14,213.42,67.9323,44.1157
32,250.16,11,164.99,-9.50001,-16.4545
28,218.26,24,373.52,10.8928,16.7734
9,66.49,34,533.46,28.9361,37.0365
14,106.17,11,165.03,-46.6917,-32.6938
16,122.37,8,117.51,-43.8326,-3.83485
12,90.38,35,549.29,-13.8932,-14.3868
23,178.44,8,116.97,-68.5894,-68.5893
27,210.48,1,5.1,-13.5841,-3.3869
5,34.34,15,229.55,-47.5445,-11.8542
25,194.01,0,-10.69,0,0
39,306.12,39,613.15,29.6817,18.5472
16,122.17,27,421.39,-68.0766,-70.4953
18,138.14,17,261.4,64.3478,53.9941
34,265.99,5,69.1,-22.2153,-18.6408
4,26.19,33,517.38,87.4118,46.4776
6,42.5,17,261.03,38.0649,17.75
12,90.37,9,133.36,68.4761,22.2492
11,82.43,28,436.98,71.2973,48.0906
8,57.98,7,101.19,-96.1995,-18.6993
35,274.52,0,-11.01,-10.4199,-10.7901
38,298.35,1,5.09,27.0891,34.6725
26,202.13,3,37.12,-40.844,-3.57338
28,218.55,35,549.11,27.7048,35.4605
31,241.97,39,613.25,-86.3515,-10.6026
36,282.34,38,597.27,-4.55797,-13.2373
34,266.51,3,37.05,-20.2254,-14.6946
10,74.45,19,293.53,-56.2772,-14.0315
39,306.01,18,277.44,-25.8202,-7.89403
1,2.21,24,373.17,54.8832,38.4296
3,17.98,3,37.52,59.8673,43.4961
22,170.14,3,37.09,-73.0559,-20.9484
28,218.31,9,133.35,82.7239,14.5864
19,145.97,5,69.47,-37.0261,-8.54813
14,106.2,12,181.3,-39.3923,-6.94592
15,114.32,25,389.21,46.5908,20.7436
19,146.32,8,117.11,-15.8255,-15.2825
11,82.5,37,581.11,-92.7289,-24.8466
26,202.21,12,181.47,-41.6161,-37.4713
0,-5.81,33,517.01,-46.0083,-86.5288
20,154.45,22,341.55,-26.3114,-9.57656
32,250.53,30,469.06,47.2363,54.3391
35,274.36,14,213.17,65.9345,33.5953
3,18.23,17,261.16,-62.2943,-45.2594
5,34.2,24,373.17,34.435,18.3094
11,82.25,0,-10.54,22.5167,13
24,186.49,38,597.05,-27.42,-9.44147
34,266.41,11,165.15,94.1546,30.5927
14,106.37,22,341.21,-20,-34.641
35,274.33,15,229.35,25.8062,3.1686
35,274.27,7,101.43,-30.0864,-70.8788
14,106.53,16,245.47,-1.02606,-2.81908
21,162.19,34,533.35,-20.6963,-31.8695
0,-5.54,30,469.48,-26.598,-28.5228
3,18.1,31,485.45,-63.5796,-13.5142
3,18.47,10,149.17,-31.3778,-19.607
25,194.06,30,469.04,-14.7917,-31.7208
34,266.32,24,372.98,16.0738,5.53465
19,146.48,16,245.01,-2.50858,-6.53506
0,-5.76,31,485.2,66.1399,59.5526
1,2.08,37,581.39,-50.4634,-47.0579
17,130.47,23,356.98,22.7505,25.2669
34,266.05,15,229.06,-65.7488,-5.75227
25,194.32,19,293.15,-48.7168,-36.7107
4,26.35,23,357.14,-42.0689,-30.5648
4,26.36,16,244.97,5.78509,6.8944
19,146.21,14,212.98,-44.0839,-60.6762
38,298.12,28,437.06,-33.8074,-9.05866
9,66.11,7,101.48,32.8744,2.87614
37,290,3,37.3,-56.2106,-80.2769
37,290.43,4,53.23,13.9058,42.7975
